Month,Baseline,2020s,2050s,2080s
Jan,10.623286802030456,11.855171021505376,12.164811182795697,12.620099408602151
Feb,10.622934472934473,11.61445713443396,12.045812160566705,12.93071759149941
Mar,11.948466257668711,12.049802419354839,12.728895215053763,13.56165494623656
Apr,12.888619402985075,13.17770811111111,14.029958888888888,14.878446888888888
May,13.730443037974682,14.450326397849462,15.347089193548387,15.960505161290325
Jun,14.919959677419357,15.1221325,15.482789055555555,16.378904055555555
Jul,15.957124518613607,15.81022860215054,16.399299139784947,17.14235639784946
Aug,16.705180442374854,16.21646623655914,16.783968118279567,17.41064112903226
Sep,16.719937888198757,15.836052000000002,16.274239,16.710258444444445
Oct,16.39751592356688,14.814414569892472,14.944890806451612,15.13515553763441
Nov,14.180066225165564,13.448944777777779,13.58841561111111,13.94765638888889
Dec,11.755693717277488,12.576721881720431,12.747950215053764,13.250603440860214
Annual,13.9164696485623,13.926302724037233,14.39074434608013,15.004234909190474
